"Name","Character","IsDefaultSkin","EnabledByCalendar","TID","Icon","Geometry","Texture","NormalMap","MaterialMap","EmissionMap","SWF","SWFTextureExportName","Animation","AltAnimation","CameraDistance","ViewportWidth","ViewportHeight","CelebrateSfx","CelebrateSfxVolume","DeployEffect","AttackEffect","AttackEffect2","AttackEffectAlt","AttackEffect2Alt","HitEffect","DieEffect","AbilityTriggerEffect","AbilityEffect","AbilityActivationEffect","AbilityHitEffect","SkinChangeEffect","ParticleEffect3D","AbilityEffect3D","GunBone","ShadowBone","ProjectileVis","RageProjectileVis","AbilityProjectileVis","SpawnedTroopAnimation","Environment","EnvironmentMenu","EnvironmentWardrobe","MakeCreator","ShadowScale","Tier","ThemeIcon","ThemeTID","ThemeYear","FeatureCustomModel","FeatureCustomTextures","FeatureCustomAnimations","FeatureCustomEffects","FeatureCustomSounds","FeatureCustomVoiceovers","FeatureCustomUnits","FeatureExtraAnimations","FeatureExtraEffects","FeatureExtraSounds","ShadowSWF","ShadowExportName","ShadowAlpha","OutlineSize","PortraitCameraPosition","PortraitCameraLookAt","PortraitCameraFov","PortraitCameraDefaultModelRotation","PortraitCameraArmyScreenFovAdd","PortraitCameraArmyScreenAltitudeChange","PortraitCameraInfoScreenFovAdd","PortraitCameraInfoScreenAltitudeChange","UseMenuPoseInPortrait","BloomStrength","BloomThreshold"
"ClockworkKing","Barbarian King","FALSE","FALSE","TID_CLOCKWORK_KING","image/skin_icons/bk_clockwork_dl_opt.sctx","sc3d/barbking_clockwork_geo_dl_opt.glb","sc3d/barbking_clockwork_01_dl_opt.sctx","sc3d/barbking_clockwork_01_normal_dl_opt.sctx","sc3d/barbking_clockwork_01_material_dl_opt.sctx",,,,"BarbarianKingClockworkSkin",,10000,225,225,"sfx/bk_wood_scream_01_dl_opt.ogg",80,"Clockwork King Deploy","Clockwork King Attack",,,,,"Clockwork King Die","King Ability Effect",,,,,,,,"hips_s",,,,,"Default","DefaultMenu","DefaultWardrobe",,100,"GOLD",,,0,"TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1700;3800","0;1800;0",30,55,15,-550,23,-200,"FALSE",20,100
"PartyKing","Barbarian King","FALSE","FALSE","TID_PARTY_KING","image/skin_icons/bk_party_dl_opt.sctx","sc3d/barbking_party_geo_dl_opt.glb","sc3d/barbking_party_01_dl_opt.sctx","sc3d/barbking_party_01_normal_dl_opt.sctx","sc3d/barbking_party_01_material_dl_opt.sctx",,,,"BarbarianKingPartySkin",,10000,225,225,,,"Party King Deploy","Party King Attack",,,,,"Party King Die","Party King Ability Effect",,,,,,,,"hips_s",,,,,"Default","DefaultMenu","DefaultWardrobe",,100,"GOLD","image/theme_icons/party_icon_dl_opt.sctx","TID_SKIN_THEME_ANNIVERSARY",2020,"TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1700;4300","0;1800;0",30,55,15,-600,23,0,"FALSE",20,100
"ChampionKing","Barbarian King","FALSE","FALSE","TID_CHAMPION_KING","image/skin_icons/bk_champion_dl_opt.sctx","sc3d/barbking_champ_geo_dl_opt.glb","sc3d/barbking_champ_01_dl_opt.sctx",,"sc3d/barbking_champ_01_material_dl_opt.sctx",,,,"BarbarianKingChampionSkin",,10000,225,225,"sfx/gladchampkingpose_01_dl_opt.ogg",80,"Champion King Spawn Effect Offset","Champion King Attack",,,,"Champion King hit","Barbarian King Die","Champion King Ability Effect",,,,"Champion King Spawn Effect",,,,"hips_s",,,,"BarbarianChamp","Default","DefaultMenu","DefaultWardrobe",,100,"LEGENDARY","image/theme_icons/champion_icon_dl_opt.sctx","TID_SKIN_THEME_WORLDS",2020,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE",,,,0,"0;1700;3800","-100;1800;0",30,55,15,-600,25,0,"FALSE",20,100
"PirateKing","Barbarian King","FALSE","FALSE","TID_PIRATE_KING","image/skin_icons/bk_pirate_dl_opt.sctx","sc3d/barbking_pirate_geo_dl_opt.glb","sc3d/barbking_pirate_01_dl_opt.sctx","sc3d/barbking_pirate_n_dl_opt.sctx","sc3d/barbking_pirate_01_material_dl_opt.sctx",,,,"BarbarianKingPirateSkin",,10000,225,225,,,"Pirate King Deploy","Pirate King Attack",,,,,"Barbarian King Die","Pirate King Ability Effect",,,,,,,,"hips_s",,,,,"Default","DefaultMenu","DefaultWardrobe",,100,"GOLD",,,0,"TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1000;4300","0;1800;0",30,35,15,-500,23,0,"FALSE",20,100
"GladiatorQueen","Archer Queen","FALSE","FALSE","TID_ARCHER_QUEEN_GLADIATOR","image/skin_icons/aq_gladiator_dl_opt.sctx","sc3d/archerqueen_gladiator_geo_dl_opt.glb","sc3d/archerqueen_gladiator_01_dl_opt.sctx",,"sc3d/archerqueen_gladiator_01_material_dl_opt.sctx",,,,"ArcherQueenGladiatorSkin",,10000,225,225,"sfx/archer_queen_scream_01.ogg",90,"Archer Queen Deploy","ArcherQueen Attack",,,,,"Archer Queen Die","Queen Ability Effect",,,,,,,,"hips_s",,,,,"Default","DefaultMenu","DefaultWardrobe",,100,"GOLD",,,0,"TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1450;3800","-50;1550;0",30,55,12,-350,17,-100,"FALSE",20,100
,,,,,,,,,,,,,,,,,,"sfx/archer_queen_deploy_01.ogg",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ValkyrieQueen","Archer Queen","FALSE","FALSE","TID_VALKYRIE_QUEEN","image/skin_icons/aq_valkyrie_dl_opt.sctx","sc3d/archerqueen_valkyrie_geo_dl_opt.glb","sc3d/archerqueen_valkyrie_01_dl_opt.sctx",,"sc3d/archerqueen_valkyrie_01_material_dl_opt.sctx",,,,"ArcherQueenValkyrieSkin",,10000,225,225,"sfx/archer_queen_scream_01.ogg",90,"Archer Queen Deploy","ArcherQueen Attack",,,,,"Archer Queen Die","Queen Ability Effect",,,,,,,,"hips_s",,,,,"Default","DefaultMenu","DefaultWardrobe",,100,"GOLD",,,0,"TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1450;3800","-50;1550;0",30,55,11,-400,20,100,"FALSE",20,100
,,,,,,,,,,,,,,,,,,"sfx/archer_queen_deploy_01.ogg",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AutumnQueen","Archer Queen","FALSE","FALSE","TID_AUTUMN_QUEEN","image/skin_icons/aq_autumn_dl_opt.sctx","sc3d/archerqueen_autumn_geo_dl_opt.glb","sc3d/archerqueen_autumn_01_dl_opt.sctx","sc3d/archerqueen_autumn_01_normal_dl_opt.sctx","sc3d/archerqueen_autumn_01_material_dl_opt.sctx",,,,"ArcherQueenAutumnSkin",,10000,225,225,"sfx/archer_queen_scream_01.ogg",90,"Archer Queen Deploy","ArcherQueen Attack",,,,,"Archer Queen Die","Queen Ability Effect",,,,"Autumn Spawn Effect",,,,"hips_s",,,,,"Default","DefaultMenu","DefaultWardrobe",,100,"GOLD",,,0,"TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1450;3800","-80;1550;0",30,55,12,-400,20,100,"FALSE",20,100
,,,,,,,,,,,,,,,,,,"sfx/archer_queen_deploy_01.ogg",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IceQueen","Archer Queen","FALSE","FALSE","TID_ICE_QUEEN","image/skin_icons/aq_ice_dl_opt.sctx","sc3d/archerqueen_ice_geo_dl_opt.glb","sc3d/archerqueen_ice_01_dl_opt.sctx",,"sc3d/archerqueen_ice_01_material_dl_opt.sctx","sc3d/archerqueen_ice_01_emission_dl_opt.sctx",,,"ArcherQueenIceSkin",,10000,225,225,"sfx/archer_queen_scream_01.ogg",90,"Archer Queen Deploy","ArcherQueen Attack",,,,,"Archer Queen Die","Ice Ability Effect",,,,"Ice Spawn Effect",,,,"hips_s",,,,,"Default","DefaultMenu","DefaultWardrobe",,100,"GOLD",,,0,"TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1450;3800","-90;1550;0",30,55,13,-350,20,-100,"FALSE",20,100
,,,,,,,,,,,,,,,,,,"sfx/archer_queen_deploy_01.ogg",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WarriorQueen","Archer Queen","FALSE","FALSE","TID_WARRIOR_QUEEN","image/skin_icons/aq_cny_01_dl_opt.sctx","sc3d/archerqueen_cny_geo_dl_opt.glb","sc3d/archerqueen_cny_01_dl_opt.sctx",,"sc3d/archerqueen_cny_01_material_dl_opt.sctx",,,,"ArcherQueenCnySkin",,10000,225,225,"sfx/archer_queen_scream_01.ogg",90,"CNY Queen Deploy","ArcherQueen Attack",,,,,"Archer Queen Die","CNY Ability Effect",,,,,,,,"hips_s","ArcherQueenCNY arrow","ArcherQueenCNY arrow rage","ArcherQueenCNY arrow",,"Default","DefaultMenu","DefaultWardrobe",,100,"LEGENDARY","image/theme_icons/lunar_ny_icon_dl_opt.sctx","TID_SKIN_THEME_LNY",2020,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1450;3800","0;1550;0",30,55,11,-400,15,-400,"FALSE",20,100
"PrimalQueen","Archer Queen","FALSE","FALSE","TID_PRIMAL_QUEEN","image/skin_icons/aq_primal_dl_opt.sctx","sc3d/archerqueen_primal_geo_dl_opt.glb","sc3d/archerqueen_primal_01_dl_opt.sctx","sc3d/archerqueen_primal_01_normal_dl_opt.sctx","sc3d/archerqueen_primal_01_material_dl_opt.sctx",,,,"ArcherQueenPrimalSkin",,10000,225,225,"sfx/archer_queen_scream_01.ogg",90,"Archer Queen Deploy","ArcherQueen Attack",,,,,"Archer Queen Die","Queen Ability Effect",,,,,,,,"hips_s",,,,,"Default","DefaultMenu","DefaultWardrobe",,100,"GOLD",,,0,"TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1450;3800","0;1550;0",30,55,10,-400,17,100,"FALSE",20,100
"ClockworkQueen","Archer Queen","FALSE","FALSE","TID_CLOCKWORK_QUEEN","image/skin_icons/aq_clockwork_dl_opt.sctx","sc3d/archerqueen_clockwork_geo_dl_opt.glb","sc3d/archerqueen_clockwork_01_dl_opt.sctx","sc3d/archerqueen_clockwork_01_normal_dl_opt.sctx","sc3d/archerqueen_clockwork_01_material_dl_opt.sctx",,,,"ArcherQueenClockworkSkin",,10000,225,225,"sfx/wood_queen_scream_01_dl_opt.ogg",90,"Wood Archer Queen Deploy","Wood ArcherQueen Attack",,,,,"Wood Archer Queen Die","Queen Ability Effect",,,,,,,,"hips_s",,,,,"Default","DefaultMenu","DefaultWardrobe",,100,"GOLD",,,0,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1450;3800","0;1550;0",30,55,10,-300,17,-100,"FALSE",20,100
"PirateQueen","Archer Queen","FALSE","FALSE","TID_PIRATE_QUEEN","image/skin_icons/aq_pirate_dl_opt.sctx","sc3d/archerqueen_pirate_geo_dl_opt.glb","sc3d/archerqueen_pirate_01_dl_opt.sctx","sc3d/archerqueen_pirate_01_normal_dl_opt.sctx","sc3d/archerqueen_pirate_01_material_dl_opt.sctx",,,,"ArcherQueenPirateSkin",,10000,225,225,"sfx/archer_queen_scream_01.ogg",90,"Archer Queen Deploy","ArcherQueen Attack",,,,,"Archer Queen Die","Queen Ability Effect",,,,,,,,"hips_s",,,,,"Default","DefaultMenu","DefaultWardrobe",,100,"GOLD",,,0,"TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1450;3800","0;1550;0",30,55,10,-400,17,-100,"FALSE",20,100
"PartyWarden","Grand Warden","FALSE","FALSE","TID_PARTY_WARDEN","image/skin_icons/gw_party_dl_opt.sctx","sc3d/grandwarden_party_geo_dl_opt.glb","sc3d/grandwarden_party_01_dl_opt.sctx",,"sc3d/grandwarden_party_01_material_dl_opt.sctx",,,,"GrandWardenPartySkin","GrandWardenFlyPartySkin",10000,225,225,"sfx/pwdeploy01_dl_opt.ogg",90,"Party Warden Deploy","Party Warden Attack",,"Party Warden Attack Air",,,"Party Warden Die",,,,,,,,"L_gunbone_01_s","hips_s",,,,,"Default","DefaultMenu","DefaultWardrobe",,100,"GOLD","image/theme_icons/party_icon_dl_opt.sctx","TID_SKIN_THEME_ANNIVERSARY",2019,"TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1600;3800","0;1700;0",30,55,10,-350,14,-350,"FALSE",20,100
"PrimalWarden","Grand Warden","FALSE","FALSE","TID_PRIMAL_WARDEN","image/skin_icons/gw_primal_dl_opt.sctx","sc3d/grandwarden_primal_geo_dl_opt.glb","sc3d/grandwarden_primal_01_dl_opt.sctx",,"sc3d/grandwarden_primal_01_material_dl_opt.sctx",,,,"GrandWardenPrimalSkin","GrandWardenFlyPrimalSkin",10000,225,225,"sfx/tap_grand_warden_04.ogg",90,"Grand Warden Deploy","GrandWarden Attack",,"GrandWarden Attack Air",,,"Grand Warden Die",,,,,,,,"L_gunbone_01_s","hips_s",,,,,"Default","DefaultMenu","DefaultWardrobe",,100,"GOLD",,,0,"TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1600;3800","75;1700;0",30,25,10,-350,25,0,"FALSE",20,100
"ClockworkWarden","Grand Warden","FALSE","FALSE","TID_CLOCKWORK_WARDEN","image/skin_icons/gw_clockwork_dl_opt.sctx","sc3d/grandwarden_clockwork_geo_dl_opt.glb","sc3d/grandwarden_clockwork_01_dl_opt.sctx",,"sc3d/grandwarden_clockwork_01_material_dl_opt.sctx","sc3d/grandwarden_clockwork_01_emission_dl_opt.sctx",,,"GrandWardenClockworkSkin","GrandWardenFlyClockworkSkin",10000,225,225,"sfx/wooden_warden_tap_01_dl_opt.ogg",90,"Wood Warden Deploy","ClockworkWarden Attack",,"ClockworkWarden Attack Air",,,"Wood Warden Die",,,,,,"clockwork_glow",,"L_gunbone_01_s","hips_s",,,,,"Default","DefaultMenu","DefaultWardrobe",,100,"GOLD",,,0,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1600;3800","0;1700;0",30,55,10,-350,23,-150,"FALSE",20,100
"GladiatorWarden","Grand Warden","FALSE","FALSE","TID_GRAND_WARDEN_GLADIATOR","image/skin_icons/gw_gladiator_dl_opt.sctx","sc3d/grandwarden_gladiator_geo_dl_opt.glb","sc3d/grandwarden_gladiator_01_dl_opt.sctx","sc3d/grandwarden_gladiator_01_normal_dl_opt.sctx","sc3d/grandwarden_gladiator_01_material_dl_opt.sctx",,,,"GrandWardenGladiatorSkin","GrandWardenFlyGladiatorSkin",10000,225,225,,,"Grand Warden Deploy","GladiatorWarden Attack",,"GladiatorWarden Attack Air",,,"Grand Warden Die",,,,,,,,"L_gunbone_01_s","hips_s",,,,,"Default","DefaultMenu","DefaultWardrobe",,100,"GOLD",,,0,"TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1600;3800","150;1700;0",30,45,10,-350,23,-100,"FALSE",20,100
"PirateWarden","Grand Warden","FALSE","FALSE","TID_PIRATE_WARDEN","image/skin_icons/gw_pirate_dl_opt.sctx","sc3d/grandwarden_pirate_geo_dl_opt.glb","sc3d/grandwarden_pirate_01_dl_opt.sctx","sc3d/grandwarden_pirate_01_normal_dl_opt.sctx","sc3d/grandwarden_pirate_01_material_dl_opt.sctx",,,,"GrandWardenPirateSkin","GrandWardenFlyPirateSkin",10000,225,225,"sfx/tap_grand_warden_04.ogg",90,"Grand Warden Deploy","PirateWarden Attack",,"PirateWarden Attack2",,,"Grand Warden Die",,,,,,,,"L_gunbone_01_s","hips_s",,,,,"Default","DefaultMenu","DefaultWardrobe",,100,"GOLD",,,0,"TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1600;3800","100;1900;0",30,45,12,-450,17,-450,"FALSE",20,100
"NorthWarden","Grand Warden","FALSE","FALSE","TID_WARDEN_OF_THE_NORTH","image/skin_icons/gw_winter_dl_opt.sctx","sc3d/grandwarden_winter_geo_dl_opt.glb","sc3d/grandwarden_winter_01_dl_opt.sctx","sc3d/grandwarden_winter_01_normal_dl_opt.sctx","sc3d/grandwarden_winter_01_material_dl_opt.sctx",,,,"GrandWardenWinterSkin","GrandWardenFlyWinterSkin",10000,225,225,"sfx/tap_grand_warden_04.ogg",90,"Grand Warden Deploy","GrandWarden Attack",,"GrandWarden Attack Air",,,"Grand Warden Die",,,,,,,,"particle_jnt","hips_s",,,,,"Default","DefaultMenu","DefaultWardrobe",,100,"GOLD",,,0,"TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1600;3800","0;1700;0",30,55,10,-375,25,-100,"FALSE",20,100
"JungleWarden","Grand Warden","FALSE","FALSE","TID_JUNGLE_WARDEN","image/skin_icons/gw_jungle_dl_opt.sctx","sc3d/grandwarden_jungle_geo_dl_opt.glb","sc3d/grandwarden_jungle_a_dl_opt.sctx","sc3d/grandwarden_jungle_n_dl_opt.sctx","sc3d/grandwarden_jungle_m_dl_opt.sctx",,,,"GrandWardenJungleSkin","GrandWardenFlyJungleSkin",10000,225,225,"sfx/tap_grand_warden_04.ogg",90,"Grand Warden Deploy","GrandWarden Attack",,"GrandWarden Attack Air",,,"Grand Warden Die",,,,,,,,"particle_jnt","hips_s",,,,,"Default","DefaultMenu","DefaultWardrobe",,100,"GOLD",,,0,"TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1600;3800","-50;1700;0",30,55,12,-350,16,-350,"FALSE",20,100
"MasterWarden","Grand Warden","FALSE","FALSE","TID_MASTER_WARDEN","image/skin_icons/gw_kungfu_dl_opt.sctx","sc3d/grandwarden_kungfu_geo_dl_opt.glb","sc3d/grandwarden_kungfu_a_dl_opt.sctx","sc3d/grandwarden_kungfu_n_dl_opt.sctx","sc3d/grandwarden_kungfu_m_dl_opt.sctx",,,,"GrandWardenKungfuSkin","GrandWardenFlyKungfuSkin",10000,225,225,"sfx/tap_grand_warden_04.ogg",90,"Grand Warden Deploy","KungfuWarden Attack",,"KungfuWarden Attack Air",,,"Grand Warden Die",,,,,,,,"leafs_s","hips_s",,,,,"Default","DefaultMenu","DefaultWardrobe",,100,"GOLD",,,0,"TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",,,,0,"0;1600;3800","-50;1700;0",30,55,11,-350,19,-250,"FALSE",20,100
